time	T1	T2	T3
2019-10-13T01:23:04	25	401	402
2019-10-13T01:23:14	25	401	402
2019-10-13T01:23:24	25	401	402
2019-10-13T01:23:34	25	401	402
2019-10-13T01:23:44	25	402	402
2019-10-13T01:23:54	25	402	402
2019-10-13T01:24:04	25	402	402
2019-10-13T01:24:14	25	402	402
2019-10-13T01:24:24	25	402	402
2019-10-13T01:24:34	25	401	402
2019-10-13T01:24:44	25	401	402
2019-10-13T01:24:54	25	401	402
2019-10-13T01:25:04	25	401	402
2019-10-13T01:25:14	25	401	402
2019-10-13T01:25:24	25	402	402
2019-10-13T01:25:34	25	401	402
2019-10-13T01:25:44	25	401	402
2019-10-13T01:25:54	25	401	402
2019-10-13T01:26:04	25	401	402
2019-10-13T01:26:14	25	401	402
2019-10-13T01:26:24	25	402	402
2019-10-13T01:26:34	25	401	402
2019-10-13T01:26:44	25	401	402
2019-10-13T01:26:54	25	401	402
2019-10-13T01:27:04	25	401	402
2019-10-13T01:27:14	25	401	402
2019-10-13T01:27:24	25	401	402
2019-10-13T01:27:34	25	401	402
2019-10-13T01:27:44	25	402	402
2019-10-13T01:27:54	25	401	402
2019-10-13T01:28:04	25	401	402
2019-10-13T01:28:14	25	401	402
2019-10-13T01:28:24	25	401	402
2019-10-13T01:28:34	25	401	402
2019-10-13T01:28:44	25	401	402
2019-10-13T01:28:54	25	401	402
2019-10-13T01:29:04	25	401	402
2019-10-13T01:29:14	25	401	402
2019-10-13T01:29:24	25	401	402
2019-10-13T01:29:34	25	401	402
2019-10-13T01:29:44	25	401	402
2019-10-13T01:29:54	25	402	402
2019-10-13T01:30:04	25	401	402
2019-10-13T01:30:14	25	401	402
2019-10-13T01:30:24	25	401	402
2019-10-13T01:30:34	25	401	402
2019-10-13T01:30:44	25	401	402
2019-10-13T01:30:54	25	401	402
2019-10-13T01:31:04	25	402	402
2019-10-13T01:31:14	25	402	402
2019-10-13T01:31:24	25	402	402
2019-10-13T01:31:34	25	402	402
2019-10-13T01:31:44	25	402	402
2019-10-13T01:31:54	25	401	402
2019-10-13T01:32:04	25	401	402
2019-10-13T01:32:14	25	401	402
2019-10-13T01:32:24	25	402	402
2019-10-13T01:32:34	25	402	402
2019-10-13T01:32:44	25	402	402
2019-10-13T01:32:54	25	402	402
2019-10-13T01:33:04	25	401	402
2019-10-13T01:33:14	25	402	402
2019-10-13T01:33:24	25	402	402
2019-10-13T01:33:34	25	401	402
2019-10-13T01:33:44	25	401	402
2019-10-13T01:33:54	25	401	402
2019-10-13T01:34:04	25	401	402
2019-10-13T01:34:14	25	401	402
2019-10-13T01:34:24	25	402	402
2019-10-13T01:34:34	25	402	402
2019-10-13T01:34:44	25	401	402
2019-10-13T01:34:54	25	401	402
2019-10-13T01:35:04	25	402	402
2019-10-13T01:35:14	25	402	402
2019-10-13T01:35:24	25	402	402
2019-10-13T01:35:34	25	402	402
2019-10-13T01:35:44	25	402	402
2019-10-13T01:35:54	25	402	402
2019-10-13T01:36:04	25	401	402
2019-10-13T01:36:14	25	401	402
2019-10-13T01:36:24	25	401	402
2019-10-13T01:36:34	25	401	402
2019-10-13T01:36:44	25	401	402
2019-10-13T01:36:54	25	401	402
2019-10-13T01:37:04	25	401	402
2019-10-13T01:37:14	25	401	402
2019-10-13T01:37:24	25	402	402
2019-10-13T01:37:34	25	401	402
2019-10-13T01:37:44	25	402	402
2019-10-13T01:37:54	25	402	402
2019-10-13T01:38:04	25	401	402
2019-10-13T01:38:14	25	401	402
