Время	T01	T02	T03	T04	T05	T06	T07	T08	T09	P	N2
1543923538991	-1	2	6	2	3	2	2	2	2	166	1
1543923548992	-1	2	5	2	3	3	2	2	2	166	1
1543923558993	-1	2	5	2	3	2	2	2	2	165	1
1543923568994	-1	2	6	2	3	2	2	2	2	164	1
1543923578994	-1	2	6	2	3	2	2	2	2	164	1
1543923588995	-1	2	5	2	3	2	2	2	2	163	1
1543923598996	-1	2	6	2	3	2	2	2	2	162	1
1543923608995	-1	2	6	2	3	2	2	2	2	162	1
1543923618996	-1	2	5	2	3	2	2	2	2	161	1
1543923628996	-1	2	6	2	3	2	2	2	2	160	1
1543923638998	-1	2	5	2	3	2	2	2	2	160	1
1543923648998	-1	2	5	2	3	2	2	2	2	159	1
1543923658999	-1	2	6	2	3	2	2	2	2	158	1
1543923668999	-1	2	6	2	3	2	2	2	2	158	1
1543923679000	-1	2	5	2	3	2	2	2	2	157	1
1543923689001	-1	2	6	2	3	2	2	2	2	156	1
1543923699002	-1	2	5	2	3	2	2	2	3	156	1
1543923709004	-1	2	5	2	3	2	2	2	3	155	1
1543923719004	-1	2	6	2	3	2	2	2	3	155	1
1543923729005	-1	2	6	2	3	2	2	2	3	154	1
1543923739005	-1	2	6	2	3	2	2	2	2	153	1
1543923749005	-1	2	6	2	3	2	2	2	2	153	1
1543923759006	-1	2	5	2	3	2	2	2	3	152	1
1543923769008	-1	2	5	2	3	2	2	2	3	152	1
1543923779008	-1	2	5	2	3	2	2	2	2	151	1
1543923789008	-1	2	5	2	3	2	2	2	2	150	1
1543923799010	-1	2	5	2	3	2	2	2	2	150	1
1543923809010	-1	2	5	2	3	2	2	2	2	149	1
1543923819010	-1	2	6	2	3	2	2	2	2	149	1
1543923829012	-1	2	6	2	3	2	2	2	2	148	1
1543923839012	-1	2	5	2	3	2	2	2	2	148	1
1543923849012	-1	2	6	2	3	2	2	2	2	147	1
1543923859013	-1	2	5	2	3	2	2	2	2	147	1
1543923869013	-1	2	5	2	4	2	2	2	2	146	1
1543923879013	-1	2	5	2	3	2	2	2	2	146	1
1543923889014	-1	2	6	2	3	3	2	2	2	145	1
1543923899015	-1	2	5	2	3	2	2	2	2	145	1
1543923909016	-1	2	5	2	3	3	2	2	2	144	1
1543923919016	-1	2	6	2	3	2	2	2	2	144	1
1543923929016	-1	2	6	2	3	2	2	2	2	143	1
1543923939017	-1	2	5	2	3	1	2	2	2	143	1
1543923949017	-1	2	5	2	3	3	2	2	2	142	1
1543923959018	-1	2	5	2	3	3	2	2	2	142	1
1543923969018	-1	2	6	2	4	2	2	2	2	142	1
1543923979019	-1	2	6	2	3	3	2	2	2	141	1
1543923989019	-1	2	5	2	3	2	2	2	2	140	1
1543923999019	-1	2	6	2	3	3	2	2	2	140	1
1543924009020	-1	2	6	2	3	2	2	2	2	140	1
1543924019020	-1	2	6	2	4	2	2	2	2	139	1
1543924029022	-1	2	6	2	4	2	2	2	2	139	1
1543924039022	-1	2	5	2	3	2	2	2	2	138	1
1543924049022	-1	2	6	2	4	3	2	2	2	138	1
1543924059022	-1	3	6	2	4	2	2	2	2	138	1
1543924069022	-1	2	6	2	4	3	2	2	2	137	1
1543924079022	-1	2	6	2	3	3	2	2	2	137	1
1543924089022	-1	2	6	2	3	3	2	2	3	136	1
1543924099023	-1	2	6	2	3	3	2	2	3	136	1
1543924109024	-1	2	6	2	4	3	2	2	3	136	1
1543924119025	-1	2	6	2	4	3	2	2	2	136	1
1543924129025	-1	2	6	2	4	3	2	2	2	136	1
1543924139025	-1	2	6	2	4	3	2	2	3	137	1
1543924149026	-1	2	6	2	4	3	2	2	3	137	1
1543924159028	-1	2	6	2	4	3	2	2	3	137	1
1543924169028	-1	2	6	2	4	3	2	2	2	137	1
1543924179030	-1	2	6	2	4	3	2	2	2	137	1
1543924189030	-1	2	6	2	4	3	2	2	3	137	1
1543924199030	-1	2	6	2	4	3	2	2	3	137	1
1543924209030	-1	2	5	2	4	3	2	2	3	137	1
1543924219030	-1	2	5	2	4	3	2	2	3	137	1
1543924229031	-1	2	5	2	4	3	2	2	3	137	1
1543924239031	-1	2	6	2	4	3	2	2	3	137	1
1543924249032	-1	2	6	2	4	3	2	2	2	137	1
1543924259033	-1	2	5	2	4	3	2	2	3	137	1
1543924269033	-1	2	6	2	4	3	2	2	3	138	1
1543924279034	-1	2	6	2	4	3	2	2	3	138	1
1543924289034	-1	2	6	2	4	3	2	2	3	138	1
1543924299035	-1	2	6	2	4	3	2	2	3	138	1
1543924309035	-1	2	6	2	4	3	2	2	3	138	1
1543924319036	-1	2	6	2	4	3	2	2	3	138	1
1543924329037	-1	2	6	2	4	3	2	2	3	138	1
1543924339038	-1	2	5	2	4	3	2	2	3	138	1
1543924349038	-1	2	6	2	4	3	2	2	3	138	1
1543924359039	-1	2	6	2	4	3	2	2	3	138	1
1543924369039	-1	2	6	2	4	3	2	2	3	138	1
1543924379039	-1	2	6	2	4	3	2	2	3	138	1
1543924389039	-1	2	5	2	4	3	2	2	3	138	1
1543924399040	-1	2	6	2	4	3	2	2	3	138	1
1543924409040	-1	2	6	2	4	3	2	2	3	138	1
1543924419040	-1	2	6	2	4	3	2	2	3	138	1
1543924429041	-1	2	6	2	4	3	2	2	3	138	1
1543924439041	-1	2	5	2	4	3	2	2	3	138	1
1543924449041	-1	2	6	2	4	3	2	2	3	138	1
1543924459041	-1	2	6	2	4	3	2	2	3	138	1
1543924469041	-1	3	6	2	4	3	2	2	3	138	1
1543924479041	-1	3	6	2	4	3	2	2	3	138	1
1543924489042	-1	3	6	2	4	3	2	2	3	138	1
1543924499042	-1	3	6	2	4	3	2	2	3	138	1
1543924509044	-1	2	6	2	4	3	2	2	3	138	1
1543924519044	-1	2	6	2	4	3	2	2	3	139	1
1543924529044	-1	3	6	2	4	3	2	2	3	139	1
1543924539044	-1	3	5	2	4	3	2	2	3	139	1
1543924549046	-1	3	6	2	4	3	2	2	3	139	1
1543924559046	-1	3	5	2	4	3	2	2	3	139	1
1543924569047	-1	3	6	2	4	3	2	2	3	139	1
1543924579047	-1	3	6	2	4	3	2	2	3	139	1
1543924589048	-1	3	6	2	4	3	2	2	3	139	1
1543924599048	-1	3	6	3	4	3	2	2	3	139	1
1543924609048	-1	3	6	2	4	3	2	2	3	139	1
1543924619048	-1	3	6	2	4	3	2	2	3	139	1
1543924629049	-1	3	5	2	4	3	2	2	3	139	1
1543924639050	-1	3	5	2	4	3	2	2	3	139	1
1543924649051	-1	3	6	2	4	3	2	2	3	139	1
1543924659051	-1	3	6	2	4	3	2	2	3	139	1
1543924669052	-1	3	6	2	4	3	2	2	3	139	1
1543924679053	-1	3	6	2	4	3	2	2	3	139	1
1543924689055	-1	3	6	2	4	3	2	2	3	139	1
1543924699055	-1	3	6	2	4	3	2	2	3	139	1
1543924709056	-1	3	6	2	4	3	2	2	3	140	1
1543924719057	-1	3	6	2	4	3	2	2	3	140	1
1543924729058	-1	3	6	2	4	3	2	2	3	140	1
1543924739058	-1	3	6	2	4	3	2	2	3	140	1
1543924749060	-1	3	5	2	4	3	2	2	3	140	1
1543924759060	-1	3	5	2	4	3	2	2	3	140	1
1543924769060	-1	3	6	2	4	3	2	2	3	140	1
1543924779060	-1	3	6	2	4	3	2	2	3	140	1
1543924789062	-1	3	6	2	4	3	2	2	3	140	1
1543924799063	-1	3	5	2	4	3	2	2	3	140	1
1543924809062	-1	3	6	2	4	3	2	2	3	140	1
1543924819063	-1	3	6	2	4	3	2	2	3	140	1
1543924829064	-1	3	6	2	4	3	2	2	3	140	1
1543924839064	-1	3	6	2	4	3	2	2	3	140	1
1543924849064	-1	3	6	2	4	3	2	2	3	140	1
1543924859066	-1	3	6	2	4	3	2	2	3	140	1
1543924869067	-1	3	6	2	4	3	2	2	3	140	1
1543924879068	-1	3	6	2	4	3	2	2	3	140	1
1543924889068	-1	3	5	2	4	3	2	2	3	140	1
1543924899069	-1	3	6	2	4	3	2	2	3	140	1
1543924909070	-1	3	6	2	4	3	2	2	3	141	1
1543924919071	-1	3	5	2	4	3	2	2	3	141	1
1543924929072	-1	3	5	2	4	3	2	2	3	141	1
1543924976197	-1	3	6	2	4	3	2	2	3	141	1
1543924986198	-1	3	6	2	4	3	2	2	3	141	1
